主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成24年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
法務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,168593,137342,31251
法務省,5,3,10,01,雑収入,諸収入,矯正官署作業収入,刑務所作業収入,4893751,4872543,21208
法務省,5,3,10,02,雑収入,諸収入,矯正官署作業収入,少年院職業補導収入,10063,10551,-488
法務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,41110,38556,2554
法務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,39680,50808,-11128
法務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,2147,1962,185
法務省,5,3,99,05,雑収入,諸収入,雑入,期満後収入,774084,2479422,-1705338
法務省,5,3,99,99,雑収入,諸収入,雑入,雑収,247008,278359,-31351
外務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,5743,5740,3
外務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,71031,80187,-9156
外務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,488630,535086,-46456
外務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,55,55,0
外務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,19613,28765,-9152
外務省,5,2,03,37,雑収入,納付金,雑納付金,独立行政法人国際協力機構納付金,2825252,2411,2822841
外務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,5286545,5099524,187021
外務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1400,1002,398
外務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,4989562,3478892,1510670
外務省,5,3,11,02,雑収入,諸収入,物品売払収入,刊行物売払代,1786,1650,136
外務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,43193,46920,-3727
外務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,2567,2735,-168
外務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,195,86,109
外務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,81,30,51
外務省,5,3,99,99,雑収入,諸収入,雑入,雑収,64139,69417,-5278
財務省,1,1,01,01,租税及印紙収入,租税,所得税,源泉所得税,11094000000,11172000000,-78000000
財務省,1,1,01,02,租税及印紙収入,租税,所得税,申告所得税,2397000000,2318000000,79000000
財務省,1,1,02,01,租税及印紙収入,租税,法人税,法人税,8808000000,7792000000,1016000000
財務省,1,1,03,01,租税及印紙収入,租税,相続税,相続税,1430000000,1423000000,7000000
財務省,1,1,20,01,租税及印紙収入,租税,消費税,消費税,10423000000,10199000000,224000000
財務省,1,1,04,01,租税及印紙収入,租税,酒税,酒税,1339000000,1348000000,-9000000
財務省,1,1,18,01,租税及印紙収入,租税,たばこ税,たばこ税,945000000,816000000,129000000
財務省,1,1,06,01,租税及印紙収入,租税,揮発油税,揮発油税,2611000000,2634000000,-23000000
財務省,1,1,07,01,租税及印紙収入,租税,石油ガス税,石油ガス税,11000000,12000000,-1000000
財務省,1,1,17,01,租税及印紙収入,租税,航空機燃料税,航空機燃料税,44000000,46000000,-2000000
財務省,1,1,54,02,租税及印紙収入,租税,石油石炭税,石油石炭税,546000000,512000000,34000000
財務省,1,1,23,01,租税及印紙収入,租税,電源開発促進税,電源開発促進税,329000000,346000000,-17000000
財務省,1,1,16,01,租税及印紙収入,租税,自動車重量税,自動車重量税,417000000,428000000,-11000000
財務省,1,1,14,01,租税及印紙収入,租税,関税,関税,910000000,815000000,95000000
財務省,1,1,15,01,租税及印紙収入,租税,とん税,とん税,10000000,9000000,1000000
財務省,1,2,01,01,租税及印紙収入,印紙収入,印紙収入,収入印紙,737000000,757000000,-20000000
財務省,1,2,01,02,租税及印紙収入,印紙収入,印紙収入,現金収入,295000000,300000000,-5000000
財務省,4,1,01,01,政府資産整理収入,国有財産処分収入,国有財産売払収入,土地売払代,85500000,97500000,-12000000
財務省,4,1,01,02,政府資産整理収入,国有財産処分収入,国有財産売払収入,立木竹売払代,32000,12000,20000
財務省,4,1,01,03,政府資産整理収入,国有財産処分収入,国有財産売払収入,建物売払代,305000,336000,-31000
財務省,4,1,01,04,政府資産整理収入,国有財産処分収入,国有財産売払収入,工作物売払代,1170,5000,-3830
財務省,4,1,01,05,政府資産整理収入,国有財産処分収入,国有財産売払収入,船舶売払代,4025,2210,1815
財務省,4,1,01,09,政府資産整理収入,国有財産処分収入,国有財産売払収入,証券売払代,11912000,17180000,-5268000
財務省,4,1,02,01,政府資産整理収入,国有財産処分収入,特定国有財産売払収入,特定施設売払代,16420,0,16420
財務省,4,1,03,01,政府資産整理収入,国有財産処分収入,東日本大震災復興国有財産売払収入,土地売払代,1500000,0,1500000
財務省,4,2,01,06,政府資産整理収入,回収金等収入,特別会計整理収入,産業投資特別会計整理収入,22633404,28144314,-5510910
財務省,4,2,50,20,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国際協力機構出資回収金,1391310,755073,636237
財務省,4,2,50,57,政府資産整理収入,回収金等収入,政府出資回収金収入,米州開発銀行出資回収金,11599440,0,11599440
財務省,4,2,50,58,政府資産整理収入,回収金等収入,政府出資回収金収入,預金保険機構出資回収金,5000000,0,5000000
財務省,4,2,50,27,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国立印刷局出資回収金,94552,1153328,-1058776
財務省,4,2,50,18,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人日本貿易振興機構出資回収金,700000,2104929,-1404929
財務省,4,2,50,19,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人中小企業基盤整備機構出資回収金,21521,50157555,-50136034
財務省,4,2,50,26,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人造幣局出資回収金,0,589948,-589948
財務省,4,2,50,51,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人労働政策研究・研修機構出資回収金,0,333810,-333810
財務省,4,2,50,54,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人国立病院機構出資回収金,0,408054,-408054
財務省,4,2,50,50,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人医薬基盤研究所出資回収金,0,2549345,-2549345
財務省,4,2,50,52,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人農林水産消費安全技術センター出資回収金,0,68,-68
財務省,4,2,50,32,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人農業・食品産業技術総合研究機構出資回収金,0,446000,-446000
財務省,4,2,50,33,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人農業生物資源研究所出資回収金,0,595080,-595080
財務省,4,2,50,36,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人水産総合研究センター出資回収金,0,1100000,-1100000
財務省,4,2,50,53,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人農林漁業信用基金出資回収金,0,27756375,-27756375
財務省,4,2,50,49,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人情報処理推進機構出資回収金,0,4000000,-4000000
財務省,4,2,50,46,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人鉄道建設・運輸施設整備支援機構出資回収金,0,849501,-849501
財務省,4,2,50,47,政府資産整理収入,回収金等収入,政府出資回収金収入,独立行政法人住宅金融支援機構出資回収金,0,41300000,-41300000
財務省,4,2,03,26,政府資産整理収入,回収金等収入,貸付金等回収金収入,しようちゆう乙類業対策基金貸付金償還金,0,5000000,-5000000
財務省,5,1,01,01,雑収入,国有財産利用収入,国有財産貸付収入,土地及水面貸付料,19177837,20135324,-957487
財務省,5,1,01,02,雑収入,国有財産利用収入,国有財産貸付収入,建物及物件貸付料,1268305,1368784,-100479
財務省,5,1,01,03,雑収入,国有財産利用収入,国有財産貸付収入,公務員宿舎貸付料,16166850,17143621,-976771
財務省,5,1,02,01,雑収入,国有財産利用収入,国有財産使用収入,版権及特許権等収入,43,0,43
財務省,5,1,04,01,雑収入,国有財産利用収入,利子収入,預託金利子収入,1,3,-2
財務省,5,1,04,03,雑収入,国有財産利用収入,利子収入,延納利子収入,141128,149585,-8457
財務省,5,1,04,02,雑収入,国有財産利用収入,利子収入,指定預金利子収入,454000,983000,-529000
